shot_number,flat_carry_yd,distance_trend_yd,ball_speed_mph,launch_angle_deg,height_yd,landing_angle_deg,hang_time_s,curve_yd,offline_yd
AVG,192,219,138,16,27,35,5.2,L 1,L 15
1,221,233,142,17,36,40,6.8,L 46,L 55
2,210,220,140,15,35,43,6.6,R 31,R 18
3,30,47,56,22,3,24,1.3,0,L 7
4,192,201,131,17,33,44,6.2,R 37,R 48
5,207,215,143,17,42,50,6.9,L 16,L 35
6,111,181,129,6,4,10,2.2,L 7,L 59
7,210,219,141,16,39,47,6.7,R 12,R 16
8,232,268,143,16,25,31,5.5,L 13,L 5
9,167,215,143,15,14,24,3.5,L 27,L 56
10,220,231,143,16,38,46,6.5,R 28,R 24
11,216,256,152,15,21,27,4.7,L 37,L 79
12,185,235,153,15,16,24,3.7,L 28,L 65
13,229,241,147,18,43,46,6.7,R 53,R 62
14,240,256,151,19,44,44,6.8,R 59,R 62
15,216,257,147,16,22,28,4.7,L 30,L 55
16,183,227,146,15,16,24,3.9,L 34,L 61
